timestep,demand_el,demand_th,water,biomass,pv,wind,nuc,lig,coal
153,307655.0537432,1,1,1,0,0.99804,1,1,1
154,308287.3575936,1,1,1,0.00060963,0.99805,1,1,1
155,310562.7283837,1,1,1,0.006088,0.99812,1,1,1
156,313235.0198389,1,1,1,0.0074218,0.99831,1,1,1
157,312976.5598709,1,1,1,0.0053112,0.99846,1,1,1
158,310087.3466567,1,1,1,0.0039527,0.99843,1,1,1
159,306081.2171521,1,1,1,0.0015335,0.99838,1,1,1
160,304941.2240788,1,1,1,0,0.99828,1,1,1
161,305795.0650446,1,1,1,0,0.9981,1,1,1
162,320905.7424619,1,1,1,0,0.99796,1,1,1
163,324574.9509367,1,1,1,0,0.99793,1,1,1
164,320148.823984,1,1,1,0,0.99783,1,1,1
165,306182.7549967,1,1,1,0,0.99774,1,1,1
166,294173.5971959,1,1,1,0,0.99771,1,1,1
167,286858.2570291,1,1,1,0,0.9976,1,1,1
168,269818.3605647,1,1,1,0,0.99748,1,1,1
169,255418.4480596,1,1,1,0,0.99739,1,1,1
170,245320.0478797,1,1,1,0,0.99752,1,1,1
171,238083.1687746,1,1,1,0,0.99789,1,1,1
172,233121.6604595,1,1,1,0,0.99814,1,1,1
173,234907.8034529,1,1,1,0,0.99854,1,1,1
174,243616.9813046,1,1,1,0,0.999,1,1,1
175,265604.5400143,1,1,1,0,0.99941,1,1,1
176,295710.5109345,1,1,1,0,0.99966,1,1,1
177,306058.1403692,1,1,1,0,0.9998,1,1,1
178,308236.5886713,1,1,1,0.01781,0.99986,1,1,1
179,311079.6483197,1,1,1,0.050901,0.99987,1,1,1
180,313968.8615339,1,1,1,0.060377,0.99984,1,1,1
181,314162.7065099,1,1,1,0.050395,0.99976,1,1,1
182,308250.434741,1,1,1,0.040749,0.99963,1,1,1
183,303436.6178362,1,1,1,0.024728,0.99951,1,1,1
184,300302.7907238,1,1,1,0.0073169,0.99937,1,1,1
185,303062.7739539,1,1,1,0,0.99911,1,1,1
186,318958.0619884,1,1,1,0,0.99851,1,1,1
187,321094.9720813,1,1,1,0,0.99745,1,1,1
188,313041.1748629,1,1,1,0,0.99587,1,1,1
189,296398.1990637,1,1,1,0,0.99444,1,1,1
190,286082.877125,1,1,1,0,0.99361,1,1,1
191,283433.6624525,1,1,1,0,0.99172,1,1,1
192,270256.819439,1,1,1,0,0.98884,1,1,1
193,260107.6503369,1,1,1,0,0.98624,1,1,1
194,250876.9371926,1,1,1,0,0.98548,1,1,1
195,244406.2072784,1,1,1,0,0.98655,1,1,1
196,239283.1614833,1,1,1,0,0.98977,1,1,1
197,237243.1738784,1,1,1,0,0.99201,1,1,1
198,235244.7244827,1,1,1,0,0.99339,1,1,1
199,232637.0480194,1,1,1,0,0.99312,1,1,1
200,242656.9871376,1,1,1,0,0.9922,1,1,1
201,256646.1329078,1,1,1,0,0.98897,1,1,1

