timestep,demand_el,biomass,brown_lig,coal_derived_gas,fossil_gas,fossil_hardcoal,fossil_oil,fossil_oil_shale,fossil_peat,geothermal,hydro_pumped_storage,run_of_river,hydro_water_reservoir,marine,nuclear,other ,other_renewable,solar,waste,wind_offshore
72,229821.6805104,4532,15464,566,1255,6978,199,n/e,n/e,11,3263,1026,24,n/e,10636,3286,95,0,265,13
73,217863.2916319,4529,15430,573,1257,7007,199,n/e,n/e,11,2314,1027,15,n/e,10658,3436,95,0,262,48
74,207418.7397092,4510,15459,570,1244,7014,199,n/e,n/e,11,1967,1023,47,n/e,10676,3235,95,0,269,80
75,201935.6961014,4497,15447,570,1258,7027,199,n/e,n/e,11,407,1019,20,n/e,10679,3276,95,0,264,107
76,199406.4806999,4518,15415,566,1254,7035,199,n/e,n/e,11,260,1019,17,n/e,10639,3196,95,0,274,141
77,201095.7012053,4522,15453,560,1259,7000,199,n/e,n/e,11,2024,1021,28,n/e,10666,3146,95,0,276,180
78,205706.4424209,4536,15454,562,1252,6889,199,n/e,n/e,11,321,1022,24,n/e,10664,2996,95,0,274,237
79,222427.8792818,4539,15457,558,1254,6780,199,n/e,n/e,11,1368,1009,7,n/e,10601,2639,95,0,261,290
80,247180.0365783,4537,15500,556,1253,6582,199,n/e,n/e,11,160,970,19,n/e,10527,2404,95,0,266,358
81,262415.3286229,4540,15486,556,1249,6357,199,n/e,n/e,11,982,968,74,n/e,10556,2641,95,0,267,447
82,271932.1938747,4543,15490,556,1254,6162,199,n/e,n/e,11,1825,970,14,n/e,10533,2567,95,0,271,578
83,278416.7698586,4541,15487,557,1252,5971,199,n/e,n/e,11,1671,970,25,n/e,10571,2359,95,0,270,684
84,283821.3524046,4541,15462,555,1242,5845,199,n/e,n/e,11,1556,969,5,n/e,10592,2184,95,0,270,734
85,285838.2632266,4540,15466,555,1244,5582,200,n/e,n/e,11,421,969,43,n/e,10681,2027,95,0,275,815
86,282782.8971759,4541,15383,574,1222,5217,200,n/e,n/e,11,169,971,19,n/e,10675,2256,95,0,278,873
87,279990.6064497,4548,15330,566,1205,4958,199,n/e,n/e,11,1419,972,16,n/e,10656,2104,95,0,273,917
88,278126.0023946,4547,15363,565,1189,4966,199,n/e,n/e,11,154,975,7,n/e,10606,2211,95,0,276,1024
89,283147.5103451,4539,15387,560,1192,4965,199,n/e,n/e,11,1628,975,69,n/e,10680,2275,95,0,279,1132
90,300847.4027993,4536,15306,558,1189,4860,199,n/e,n/e,11,25,974,83,n/e,10673,2350,95,0,274,1162
91,299767.4093614,4531,15255,561,1190,4674,199,n/e,n/e,11,21,972,55,n/e,10672,2324,95,0,269,1163
92,294953.5924566,4514,15071,559,1189,4467,199,n/e,n/e,11,18,970,43,n/e,10614,2441,95,0,269,1306
93,281296.7523596,4516,14925,556,1184,4119,198,n/e,n/e,11,854,972,135,n/e,10656,2316,95,0,269,1391
94,273252.1858544,4515,14885,558,1184,4057,199,n/e,n/e,11,384,971,71,n/e,10645,2238,95,0,269,1438
95,269292.2099155,4520,14858,563,1188,3925,199,n/e,n/e,11,611,975,40,n/e,10634,2183,95,0,273,1500
96,256387.6729397,4536,14847,568,1168,3768,199,n/e,n/e,11,526,975,67,n/e,10628,2405,95,0,276,1476
97,245984.6592261,4516,14700,570,1169,3609,198,n/e,n/e,11,116,972,24,n/e,10636,2180,95,0,268,1488
